Artist_ID,Objects_1_ID,Disp_Access_No,Alt_Title,Dedication,Disp_Dimen,Disp_Title,Department,Disp_Medium,Disp_Obj_Type,Disp_Create_DT,_Disp_Start_Dat,_Disp_End_Date
960,18,2013.213,,The Lunder Collection,54 in. x 18 1/2 in. x 16 1/4 in. (137.16 cm x 46.99 cm x 41.28 cm),Undine,Permanent Collection,Marble,Sculpture,c. 1866,1861,1871
730,20,2013.165,,The Lunder Collection,72 in. x 144 in. (182.88 cm x 365.76 cm),Canoe,Permanent Collection,Oil on canvas,Painting,1974,1974,1974
1384,21,2013.406,,The Lunder Collection,(231 x 160 mm; 235 x 160 mm),The Pierrot,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; sixth state (of eight),Graphics,1889,1889,1889
1384,22,2013.439,,The Lunder Collection,9 13/16 x 16 3/16 in. (24.9 x 41.1 cm),"The &#39;Adam and Eve&#39;, Old Chelsea",Permanent Collection,Etching and drypoint in black ink on cream Japanese paper; third state (of three),Graphics,1878,1878,1878
1384,23,2013.432,,The Lunder Collection,(126 x 75 mm; 225 x 168 mm),Tatting,Permanent Collection,Etching in black ink on tan Japanese paper; only state,Graphics,1874,1874,1874
262,26,002.2007,,The Lunder Collection,18 in. x 25 1/2 in. (45.72 cm x 64.77 cm),Larmor,Temporary Loan,Oil on canvas,Painting,1884,1884,1884
889,28,003.1998,,Promised gift of Norma B. Marin,,"Bridge Over Canal, Amsterdam",Temporary Loan,Etching on paper,Graphics,1906,1906,1906
1943,29,2013.005,,The Lunder Collection,29 1/4 in. x 36 1/4 in. (74.3 cm x 92.08 cm),A Militia Parade ,Permanent Collection,Oil on canvas,Painting,c. 1845,1840,1850
253,30,2013.026,,The Lunder Collection,21 7/8 in. x 11 3/8 in. x 5 5/8 in. (55.56 cm x 28.89 cm x 14.29 cm),The Choosing of the Arrow,Permanent Collection,Bronze,Sculpture,1849,1849,1849
1384,31,2013.346,,The Lunder Collection,(289 x 200 mm; 386 x 263 mm),Finette,Permanent Collection,Etching and drypoint in black ink on ivory Japanese paper; sixth state (of fourteen),Graphics,1859,1859,1859
1384,32,2013.484,,The Lunder Collection,(plate: 203 x 291 mm),The Two Doorways,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; twelfth state (of thirteen),Graphics,1879-1880,1879,1880
1170,33,2013.252,,The Lunder Collection,40 in. x 17 1/2 in. x 4 in. (101.6 cm x 44.45 cm x 10.16 cm),Amor Caritas,Temporary Loan,Bronze,Sculpture,1880-1898,1880,1898
790,35,2013.178,,The Lunder Collection,23 in. x 13 in. (58.42 cm x 33.02 cm),Agathon to Erosanthe (Votive Wreath),Temporary Loan,Oil on canvas,Painting,1861,1861,1861
1384,36,2013.404,,The Lunder Collection,,Whistler&#39;s Palette,Permanent Collection,,Decorative Arts,19th century,1800,1899
889,38,004.1998,,Promised gift of Norma B. Marin,,Clock Tower of Sta. Maria Zobenigo,Temporary Loan,Etching on paper,Graphics,1907,1907,1907
665,39,2013.149,,The Lunder Collection,29 3/4 x 24 in. (75.6 x 61 cm),Martha Ellen Connell,Permanent Collection,Oil on canvas,Painting,1838,1838,1838
1164,40,2013.248,,The Lunder Collection,19 15/16 in. x 29 1/8 in. (50.64 cm x 73.98 cm),Calling the Horses (Get Your Ropes),Permanent Collection,Watercolor on paper,Drawing,1899,1899,1899
1384,41,2013.440,,The Lunder Collection,(plate: 295 x 200 mm),The Balcony,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; eighteenth state (of nineteen),Graphics,1879-1880,1879,1880
662,42,2013.148,,The Lunder Collection,13 1/4 in. x 19 3/4 in. (33.66 cm x 50.17 cm),Girl in a Hammock,Permanent Collection,Oil on canvas,Painting,1873,1873,1873
1384,43,2013.487,,The Lunder Collection,(82 x 54 mm; 223 x 182 mm),The Wine Glass,Permanent Collection,Etching in black ink on tan Japanese paper; second (final) state,Graphics,1859,1859,1859
1384,46,004.2007,,The Lunder Collection,(image: 148 x 240 mm; 203 x 267 mm),Anacapa Island,Temporary Loan,Etching in black ink on ivory wove paper; only state,Graphics,1854,1854,1854
889,48,005.1998,Number 1,Promised gift of Norma B. Marin,,"Ye Old Dutch Church Upper Saddle River, N.J., No. 1",Temporary Loan,Etching on paper,Graphics,1951,1951,1951
934,49,005.1999,,The Lunder Collection,35 1/2 in. x 33 1/2 in. (90.17 cm x 85.09 cm),Sunlight Interior,Temporary Loan,Oil on canvas,Painting,,,
1098,50,005.2000,,"Lent by Annie R., Benjamin A., Marianne B., and Clay M. Colonna",,Cherry Blossoms,Temporary Loan,Oil on canvas,Painting,,,
1384,51,2013.450,,The Lunder Collection,(239 x 159 mm; 242 x 159 mm),The Embroidered Curtain,Permanent Collection,Etching and drypoint in dark brown ink on ivory laid paper; tenth (final) state,Graphics,1889,1889,1889
1384,52,2013.353,,The Lunder Collection,,Gants De Suede,Permanent Collection,Lithograph on paper,Graphics,1890,1890,1890
1384,53,2013.419,,The Lunder Collection,(276 x 200 mm; 444 x 309 mm),Rotherhithe,Permanent Collection,Etching and drypoint in black ink on off-white wove paper; first state (of six),Graphics,1860,1860,1860
1384,55,005.2007,,The Lunder Collection,13 in. x 8 in. (33.02 cm x 20.32 cm),The Little Cafe Au Bois,Temporary Loan,Lithograph on paper,Graphics,1894,1894,1894
889,57,006.1998,Number 2,Promised gift of Norma B. Marin,,"Ye Old Dutch Church Upper Saddle River, N.J., No. 2",Temporary Loan,Etching on paper,Graphics,1951,1951,1951
936,58,2013.207,,The Lunder Collection,30 5/8 in. x 26 in. x 13 in. (77.79 cm x 66.04 cm x 33.02 cm),Europa and the Bull,Permanent Collection,Bronze,Sculpture,1929,1929,1929
1384,60,2013.413,,The Lunder Collection,12 15/16 x 8 7/16 in. (32.8 x 21.4 cm),Reading by Lamplight,Permanent Collection,Etching and drypoint in black ink on ivory laid paper; first state (of three),Graphics,1859,1859,1859
880,61,2013.197,,The Lunder Collection,27 1/2 in. x 28 1/2 in. x 13 in. (69.85 cm x 72.39 cm x 33.02 cm),Flight of Night,Permanent Collection,Bronze,Sculpture,1916,1916,1916
1384,62,2013.485,,The Lunder Collection,(232 x 156 mm; 280 x 200 mm),The Velvet Dress (Mrs. Leyland),Permanent Collection,Drypoint in black ink on ivory Japanese paper; third state (of seven),Graphics,1873-74,,
1384,64,006.2007,,The Lunder Collection,(125 x 175 mm; 128 x 175 mm),"The Barrow - Quartier des Marolles, Brussels",Temporary Loan,Etching and drypoint in dark brown ink on cream laid paper; third state (of eight),Graphics,1887,1887,1887
417,65,007.1993,,Lent by Roger De Ponton D&#39;amecourt and Wayne C. Brown De Ponton D&#39;amecourt,7 1/2 in. (19.1 cm),Untitled (Large Cloud and Coastline),Temporary Loan,Watercolor on paper,Drawing,1977,1977,1977
889,66,007.1998,,Promised gift of Norma B. Marin,,"St. Paul&#39;s, New York",Temporary Loan,Etching on paper,Graphics,1925,1925,1925
869,67,2013.190,,The Lunder Collection,30 1/2 in. x 20 1/4 in. x 16 1/4 in. (77.47 cm x 51.44 cm x 41.28 cm),Diana,Permanent Collection,Bronze,Sculpture,1890,1890,1890
1384,68,2013.320,,The Lunder Collection,6 15/16 x 9 11/16 in. (17.7 x 24.6 cm),Billingsgate,Permanent Collection,Etching and drypoint in black ink on ivory laid paper; ninth (final) state,Graphics,1859,1859,1859
1170,69,2013.253,,The Lunder Collection,17 3/4 in. x 17 5/16 in. x 3/8 in. (45.09 cm x 43.97 cm x 0.95 cm),Robert Louis Stevenson,Permanent Collection,Bronze,Sculpture,1887-1888,1887,1888
1384,70,2013.351,,The Lunder Collection,(plate: 222 x 149 mm),Fruit Stall,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; thirteenth state (of twenty-one),Graphics,1879-1880,1879,1880
1384,72,2013.414,,The Lunder Collection,10 1/4 in. x 6 5/8 in. (26.04 cm x 16.83 cm),"Red House, Paimpol",Permanent Collection,Lithograph in three colors on laid ledger paper,Graphics,1893,1893,1893
1384,73,2013.478,,The Lunder Collection,11 9/16 x 7 3/8 in. (29.3 x 18.8 cm),The Scotch Widow,Permanent Collection,Drypoint in black ink on off-white Japanese paper; only state,Graphics,1875-1876,1875,1876
889,75,008.1998,,Promised gift of Norma B. Marin,,Downtown Synthesis,Temporary Loan,Etching on paper,Graphics,1925,1925,1925
1384,77,2013.408,,The Lunder Collection,(plate: 226 x 152 mm),Ponte del Piovan,Permanent Collection,Etching and drypoint in brown ink on cream laid paper; sixth (final) state,Graphics,1879-1880,1879,1880
1384,78,2013.358,,The Lunder Collection,(plate and sheet: 126 x 85 mm),La M&#232;re G&#233;rard,Permanent Collection,Etching in black ink on cream wove paper; first state (of four),Graphics,1858,1858,1858
1384,79,2013.332,,The Lunder Collection,(213 x 124 mm; 219 x 125 mm),The Courtyard Brussels,Permanent Collection,Etching in black ink on off-white Japanese paper; only state,Graphics,1887,1887,1887
715,80,2013.163,,"The Lunder Collection. Art &#169; Judd Foundation/ Licensed by VAGA, New York, NY",19 5/8 in. x 29 3/8 in. x 19 5/8 in. (49.85 cm x 74.61 cm x 49.85 cm),Untitled,Permanent Collection,Copper with orange plexiglass,Sculpture,1977,1977,1977
1384,81,2013.389,,The Lunder Collection,(295 x 198 mm; 300 x 198 mm),Nocturne: Palaces,Permanent Collection,Etching and drypoint in brown ink on off-white laid paper; twelfth (final) state,Graphics,1879-1880,1879,1880
1769,82,2013.621,Ox,The Lunder-Colville Chinese Art Collection,7 in. x 4 in. x 11 in. (17.78 cm x 10.16 cm x 27.94 cm),Bull,Temporary Loan,Earthenware,Ceramics,618 - 907,618,907
889,84,009.1998,Second Version of Five,Promised gift of Norma B. Marin,,Lobster Fisherman,Temporary Loan,Etching on paper,Graphics,1948,1948,1948
1384,85,2013.314,,The Lunder Collection,(270 x 170 mm; 274 x 170 mm),"Balcony, Amsterdam",Permanent Collection,Etching and drypoint in dark brown ink on ivory laid paper; third state (of four),Graphics,1889,1889,1889
1384,86,2013.359,,The Lunder Collection,(128 x 89 mm; 289 x 239 mm),La Mere Gerard,Permanent Collection,Etching in black ink on off-white Japanese paper laid down on ivory wove paper (chine coll&#233;); fourth (final) state,Graphics,1858,1858,1858
1384,87,2013.382,,The Lunder Collection,(208 x 133 mm; 314 x 208 mm),Draped Model,Permanent Collection,Drypoint in black ink on ivory laid paper; fourth state (of eleven),Graphics,1873-1874,1873,1874
312,88,2013.041,,The Lunder Collection,82 1/2 in. x 30 1/2 in. x 17 3/4 in. (209.55 cm x 77.47 cm x 45.09 cm),Rare Meat,Permanent Collection,Painted and chromium-plated steel,Sculpture,1977,1977,1977
1384,89,2013.498,,The Lunder Collection,9 1/2 in. x 6 1/4 in. (24.13 cm x 15.88 cm),"Yellow House, Lannion",Permanent Collection,"Lithograph in three colors on laid paper, first state (of three)",Graphics,1893,1893,1893
1384,90,009.2007,,The Lunder Collection,10 7/16 in. x 7 3/4 in. (26.51 cm x 19.69 cm),The Pageant (The Doctor: Portrait of My Brother),Temporary Loan,Lithograph on paper,Graphics,19th century,1800,1899
889,92,010.1998,,Promised gift of Norma B. Marin,,"Notre Dame, Paris",Temporary Loan,Etching on paper,Graphics,1908,1908,1908
1384,93,2013.410,,The Lunder Collection,(150 x 227 mm; 197 x 308 mm),Price&#39;s Candle Factory,Permanent Collection,Drypoint in black ink on cream laid paper; second state (of thirteen),Graphics,1876-1877,1876,1877
1384,94,2013.379,,The Lunder Collection,(130 x 178 mm; 134 x 178 mm),"Melon Shop, Houndsditch",Permanent Collection,Etching in dark brown ink on ivory laid paper; first state (of five),Graphics,1887,1887,1887
1384,95,2013.466,&quot;From the Venice Set&quot;,The Lunder Collection,(268 x 186 mm; 272 x 186 mm),The Little Mast,Permanent Collection,Etching and drypoint in black ink on ivory laid paper; third state (of eight),Graphics,1879-1880,1879,1880
1264,96,2013.269,,The Lunder Collection,17 3/4 in. x 24 in. (45.09 cm x 60.96 cm),"Pittsburgh, Winter",Permanent Collection,Charcoal on paper,Drawing,1908,1908,1908
1384,97,010.2006,,The Lunder Collection,4 1/2 in. x 3 in. (11.43 cm x 7.62 cm),A Man Seated At a Desk,Temporary Loan,Pencil on paper,Drawing,c. 1854-1856,1854,1856
1384,98,010.2007,,The Lunder Collection,(plate: 81 x 187 mm),Custom House,Temporary Loan,Etching in black ink on off-white laid paper; only state,Graphics,1878,1878,1878
889,100,011.1998,,Promised gift of Norma B. Marin,,"Old House, Rue Des Arpents, Rouen",Temporary Loan,Etching on paper,Graphics,1909,1909,1909
1384,101,2013.330,,The Lunder Collection,(225 x 151 mm),"Clothes-Exchange, Houndsditch, No. 2",Permanent Collection,Etching and drypoint in black ink on ivory laid paper; first state (of three),Graphics,1887,1887,1887
1384,102,2013.334,,The Lunder Collection,(plate: 232 x 168 mm),Doorway and Vine,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; state twelve (of eighteen),Graphics,1879-1880,1879,1880
1384,103,2013.374,&quot;From the First Venice Set&quot;,The Lunder Collection,(186 x 265 mm; 203 x 277 mm),The Little Venice,Permanent Collection,Etching in black ink on cream laid paper; second (final) state,Graphics,1880,1880,1880
1384,104,2013.394,,The Lunder Collection,( 98 x 133 mm; 180 x 200 mm),Nursemaid and Child,Permanent Collection,Etching and drypoint in black ink on cream Japanese paper; second (final) state,Graphics,1859,1859,1859
1384,105,011.2006,,The Lunder Collection,8 1/2 in. x 5 1/2 in. (21.59 cm x 13.97 cm),Nelly,Temporary Loan,Pencil on blue paper,Drawing,c. 1866-1870,1866,1870
1384,106,011.2007,,The Lunder Collection,(plate: 126 x 216 mm),"Archway, Brussels",Temporary Loan,Etching in dark brown ink on cream Japanese paper; only state,Graphics,1887,1887,1887
889,108,012.1998,,Promised gift of Norma B. Marin,,"Cathedral, Rouen",Temporary Loan,Etching on paper,Graphics,1909,1909,1909
1384,109,2013.460,,The Lunder Collection,(278 x 177 mm ;378 x 249 mm),The Guitar Player (M.W. Ridley),Permanent Collection,Drypoint in dark brown ink on ivory laid paper; seventh (final) state,Graphics,1874-75,,
1384,110,2013.336,The French Set,The Lunder Collection,(112 x 148 mm; approx 329 x 506 mm),The Title Page for &#39;Douze Eaux Fortes d&#39;apr&#232;s Nature&#39;,Permanent Collection,Etching in black ink on blue wove paper; only state,Graphics,1858,1858,1858
1384,111,2013.415,,The Lunder Collection,(163 x 120 mm; 174 x 123 mm),Regent&#39;s Quadrant,Permanent Collection,Etching and drypoint in black ink on ivory laid paper; third state (of seven),Graphics,1880-1881,1880,1881
1384,113,012.2006,,The Lunder Collection,10 1/2 in. x 3 9/16 in. (26.67 cm x 9.05 cm),A Street in Venice,Temporary Loan,Chalk and pastel on brown paper,Drawing,c. 1879-1880,1879,1880
1384,114,012.2007,,The Lunder Collection,(154 x 90 mm; 204 x 136 mm),"Rag Pickers, Quartier Mouffetard, Paris",Temporary Loan,Etching and drypoint in black ink on off-white wove paper; fourth state (of five),Graphics,1858,1858,1858
1384,116,2013.052,,The Lunder Collection,(plate: 168 x 232 mm),Nocturne: Furnace,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; twelfth (final) state,Graphics,1879-1880,1879,1880
1384,117,2013.499,,The Lunder Collection,11 7/8 in. x 9 in. (30.16 cm x 22.86 cm),"Yellow House, Lannion",Permanent Collection,"Color transfer lithograph, second (final) state on Japanese paper",Graphics,1893,1893,1893
1384,118,2013.405,,The Lunder Collection,(232 x 160 mm; 235 x 160 mm),The Pierrot,Permanent Collection,Etching and drypoint in dark brown ink on cream laid paper; first state (of eight),Graphics,1889,1889,1889
1384,120,013.2006,,The Lunder Collection,8 1/4 in. x 4 3/4 in. (20.96 cm x 12.07 cm),Note in Rose and Silver-Dordrecht,Permanent Collection,Watercolor on paper,Drawing,c. 1884,1879,1889
1384,121,013.2007,,The Lunder Collection,(127 X 178 mm; 130 x 178 mm),"Melon Shop, Houndsditch",Temporary Loan,Etching and drypoint in dark brown ink on ivory laid paper; third state (of five),Graphics,1887,1887,1887
1384,123,2013.397,,The Lunder Collection,(204 x 296 mm; 290 x 375 mm),Old Battersea Bridge,Permanent Collection,Etching and drypoint in black ink on cream laid paper; fourth state (of seven),Graphics,1879,1879,1879
880,124,2013.196,,The Lunder Collection,32 1/4 in. x 34 3/4 in. x 11 in. (81.92 cm x 88.27 cm x 27.94 cm),Dancer and Gazelles,Permanent Collection,Bronze with green patina,Sculpture,1916,1916,1916
1384,125,014.2004,,The Lunder Collection,(185 x 264 mm; 250 x 388 mm),The Little Venice,Temporary Loan,"Etching in dark brown ink on tan Japanese paper; second (final) state, cancelled",Graphics,1880,1880,1880
1384,127,2013.324,,The Lunder Collection,8 in. x 4 1/2 in. (20.32 cm x 11.43 cm),Blue and Violet II,Temporary Loan,Pastel on brown paper,Drawing,c. 1888-1892,1888,1892
1384,128,014.2007,,The Lunder Collection,(138 x 214 mm; 142 x 214 mm),Old Hungerford Bridge,Temporary Loan,Etching and drypoint in black ink on ivory Japanese paper; first state (of four),Graphics,1861,1861,1861
889,130,015.1998,,Promised gift of Norma B. Marin,,"Ponte Ghetto, Venice",Temporary Loan,Etching,Graphics,1907,1907,1907
1384,131,2013.400,,The Lunder Collection,(200 x 299 mm; 314 x 457 mm),Old Putney Bridge,Permanent Collection,Etching and drypoint in dark brown ink on off-white laid paper; seventh (final) state,Graphics,1879,1879,1879
815,133,2004.161,,The Lunder Collection,34 in. x 23 7/8 in. (86.36 cm x 60.64 cm),The Seniors Project (28),Permanent Collection,Chromogenic color print,Photograph,1999,1999,1999
1384,135,2013.475,,The Lunder Collection,11 5/8 in. x 8 in. (29.53 cm x 20.32 cm),The Red Doorway,Permanent Collection,Pastel in seven colors on medium-brown wove paper,Drawing,1880,1880,1880
1384,136,015.2007,,The Lunder Collection,(plate: 224 x 150 mm),Fruit Stall,Temporary Loan,Etching and drypoint in dark brown ink on ivory laid paper; third state (of twenty-one),Graphics,1879-1880,1879,1880
889,138,016.1998,,Promised gift of Norma B. Marin,,Skyscrapers in Construction,Temporary Loan,Etching,Graphics,1930,1930,1930
1384,139,2013.422,,The Lunder Collection,(177 x 81 mm; 180 x 81 mm),Savoy Scaffolding,Permanent Collection,Etching in dark brown ink on cream laid paper; only state,Graphics,1887,1887,1887
1384,140,2013.446,,The Lunder Collection,(292 x 200 mm; 296 x 200 mm),The Doorway,Permanent Collection,Etching and drypoint in black ink on ivory Japanese paper; twentieth (final) state,Graphics,1879-1880,1879,1880
644,141,2017.398,,Gift of Jerome Goldberg,21 in. x 41 in. (53.34 cm x 104.14 cm),Lake Oswego,Permanent Collection,Oil on canvas,Painting,1862,1862,1862
284,142,2013.033,,The Lunder Collection,32 in. x 31 in. x 19 in. (81.28 cm x 78.74 cm x 48.26 cm),Untitled,Permanent Collection,Painted metal and wire,Sculpture,1946,1946,1946
689,143,2013.155,,The Lunder Collection,30 in. x 45 in. (76.2 cm x 114.3 cm),Spirit of Autumn,Permanent Collection,Oil on canvas,Painting,1891,1891,1891
1384,144,016.2007,,The Lunder Collection,(285 x 230 mm; 287 x 230 mm),Wool Carders,Temporary Loan,Drypoint in dark brown ink on off-white laid paper; first state (of three),Graphics,1879-1880,1879,1880
889,146,017.1998,,Promised gift of Norma B. Marin,,"La Madeleine, Paris",Temporary Loan,Etching,Graphics,1908,1908,1908
1384,147,2013.348,,The Lunder Collection,(153 x 253 mm; 251 x 356 mm),"Fishing Boats, Hastings",Permanent Collection,Etching and drypoint in black ink on ivory Japanese paper; third state (of four),Graphics,1875-1878,1875,1878
1384,148,2013.494,,The Lunder Collection,12 1/8 in. x 7 3/4 in. (30.8 cm x 19.69 cm),Vitre: the Canal,Permanent Collection,Lithograph,Graphics,1893,1893,1893
1384,149,2013.329,,The Lunder Collection,(90 x 190 mm; 99 x 190 mm),Chelsea Wharf,Permanent Collection,Etching and drypoint in black ink on ivory laid paper; second state (of two),Graphics,1863,1863,1863
1384,150,2013.361,,The Lunder Collection,13 1/4 in. x 8 in. (33.66 cm x 20.32 cm),La Belle Jardiniere,Permanent Collection,Transfer lithograh on japan paper,Graphics,1894,1894,1894
1384,151,017.2007,,The Lunder Collection,(plate: 141 x 222 mm),The Fleet: Monitors,Temporary Loan,Etching in dark brown ink on off-white laid paper; first state (of two),Graphics,1887,1887,1887
889,153,018.1998,,Promised gift of Norma B. Marin,,"Canal, Amsterdam",Temporary Loan,Etching on paper,Graphics,1906,1906,1906
1384,154,2013.368,,The Lunder Collection,8 5/8 in. x 12 3/4 in. (21.91 cm x 32.39 cm),Limehouse,Permanent Collection,Lithotint on paper,Graphics,1878,1878,1878
1384,155,2013.313,,The Lunder Collection,(83 x 56 mm; 128 x 95 mm),"Auguste Del&#226;tre, Printer",Permanent Collection,Etching in black ink on off-white laid paper; only state,Graphics,1858-1859,1858,1859
730,156,018.2004,,Promised gift of the artist,30 in. x 36 in. (76.2 cm x 91.44 cm),Madison 2,Temporary Loan,Oil on masonite,Painting,1952,1952,1952
1384,157,2013.416,,The Lunder Collection,(130 x 95 mm; 133 x 95 mm),Return to Tilbury,Permanent Collection,Etching and drypoint in dark brown ink on ivory laid paper; second (final) state,Graphics,1887,1887,1887
1384,158,2013.390,,The Lunder Collection,(272 x 167 mm; 274 x 167 mm),The Dance House: Nocturne,Permanent Collection,Etching and drypoint in dark brown ink on off-white laid paper; fourth state (of six),Graphics,1889,1889,1889
1384,159,018.2007,,The Lunder Collection,(145 x 212 mm; 242 x 314 mm),The Music Room,Temporary Loan,Etching in black ink on ivory wove paper; first state (of four),Graphics,1859,1859,1859
889,161,019.1998,,Promised gift of Norma B. Marin,,"Moulin St. Maurice, Marne River",Temporary Loan,Etching on paper,Graphics,1906,1906,1906
1384,162,2013.321,,The Lunder Collection,(148 x 224 mm; 229 x 362 mm),Black Lion Wharf,Permanent Collection,Etching in black ink on ivory laid paper; fourth (final) state,Graphics,1859,1859,1859
935,163,2013.206,,The Lunder Collection,21 1/2 in. x 34 in. (54.61 cm x 86.36 cm),Buffalo Hunt with Lances,Permanent Collection,Oil on canvas,Painting,1858,1858,1858
730,164,019.2004,,Promised gift of the artist,30 in. x 36 in. (76.2 cm x 91.44 cm),Group Portrait 2,Temporary Loan,Oil on Masonite,Painting,c. 1950,1945,1955
1384,165,2013.426,,The Lunder Collection,11 7/8 in. x 7 1/4 in. (30.16 cm x 18.42 cm),St. Giles-The-Fields,Permanent Collection,Transfer lithograph with stumping on fine laid paper,Graphics,1896,1896,1896
1384,166,2013.490,,The Lunder Collection,(128 x 176 mm; 131 x 176 mm),Troopships,Permanent Collection,Etching and drypoint in dark brown ink on ivory laid paper; second (final) state,Graphics,1887,1887,1887
1384,167,019.2007,,The Lunder Collection,(plate: 219 x 128 mm),"Mairie, Loches",Temporary Loan,Etching and drypoint in dark brown ink on cream laid paper; third state (of three),Graphics,1888,1888,1888
889,169,020.1998,First of Two States,Promised gift of Norma B. Marin,,"Through the Window, Venice",Temporary Loan,Etching on paper,Graphics,1907,1907,1907
1384,170,2013.315,,The Lunder Collection,(150 x 222 mm; 175 x 263 mm),Battersea Morning,Permanent Collection,Drypoint in brown ink on ivory laid paper; fourth state (of five),Graphics,1877,1877,1877
755,171,2013.170,,The Lunder Collection,17 1/2 in. x 14 in. (44.45 cm x 35.56 cm),"Daniel Webster, U.S. Senate",Permanent Collection,Oil on wood ,Painting,1833,1833,1833
1384,172,2013.341,,The Lunder Collection,7 1/4 in. x 10 11/16 in. (18.42 cm x 27.15 cm),"Early Morning, Battersea",Permanent Collection,"Lithotint, third state (of four) on paper",Graphics,1878,1878,1878
147,173,2013.006,,The Lunder Collection,24 in. x 16 in. (60.96 cm x 40.64 cm),Provincetown #1,Permanent Collection,Oil on canvas,Painting,1923,1923,1923
1384,174,2013.350,,The Lunder Collection,(215 x 138 mm; 315 x 200 mm),Florence Leyland,Permanent Collection,Drypoint in dark brown ink on cream laid paper; ninth state (of eleven),Graphics,1874,1874,1874
1384,175,020.2007,,The Lunder Collection,(plate: 152 x 228 mm),Long Lagoon,Temporary Loan,Etching and drypoint in dark brown ink on ivory laid paper; first state (of two),Graphics,1879-1880,1879,1880
889,177,021.1998,Second of Two States,Promised gift of Norma B. Marin,,"Through the Window, Venice",Temporary Loan,Etching on paper,Graphics,1907,1907,1907
1384,178,2013.312,,The Lunder Collection,16 3/16 x 9 13/16 in. (41.1 x 24.9 cm),Annie Haden,Permanent Collection,Drypoint in black ink on ivory laid paper; third state (of five),Graphics,1860,1860,1860
971,179,2013.217,,The Lunder Collection,15 1/2 in. x 8 1/4 in. x 11 1/2 in. (39.37 cm x 20.96 cm x 29.21 cm),Classical Head,Permanent Collection,Marble,Sculpture,c. 1910-1911,1910,1911
1384,180,2013.376,,The Lunder Collection,(152 x 227 mm; 212 x 272 mm),Longshore men,Permanent Collection,Etching in black ink on cream Japanese paper; fourth (final) state,Graphics,1859,1859,1859
1769,181,2013.048,,The Lunder-Colville Chinese Art Collection,10 in. x 9 3/4 in. x 9 3/4 in. (25.4 cm x 24.77 cm x 24.77 cm),Tripod (li),Permanent Collection,Bronze,Decorative Arts,1600 BCE - 1050 BCE,1600 BCE,1050 BCE
1384,182,2013.403,,The Lunder Collection,(253 x 360 mm; 255 x 360 mm),The Palaces,Permanent Collection,"Etching, drypoint and open bite in dark brown ink on cream laid paper; sixth (final) state",Graphics,1879-1880,1879,1880
1384,183,021.2007,,The Lunder Collection,5 3/16 x 8 1/4 in. (13.2 x 20.9 cm),"Amsterdam, from the Tolhuis",Temporary Loan,Etching and drypoint in brown ink on ivory laid paper; seventh (final) state,Graphics,1863,1863,1863
889,185,022.1998,,Promised gift of Norma B. Marin,,"Della Fava, Venice",Temporary Loan,Etching on paper,Graphics,1907,1907,1907
